fold,model,r2,mae,secs
2017Q1,Dynamic ET,0.8523126924932837,0.04816738674566665,4.079813834003289
2017Q1,Thin-plate spline,0.7291915315830155,0.07567088575004216,0.553674291993957
2017Q1,Kernel ridge,-3.030014575483694,0.2935892029553375,3.4611277500080178
2017Q1,Gaussian process,0.849927141653079,0.04168502398075431,84.452079374998
2017Q1,NGBoost,0.8304489893584985,0.055489441244540555,31.673627874988597
2017Q1,kNN,0.4519660018555717,0.09767080404792887,0.09197799999674316
2017Q2,Dynamic ET,0.9251814729104094,0.02628105745333334,5.681738833998679
2017Q2,Thin-plate spline,0.7854503896489358,0.05730331818802227,0.6378540419973433
2017Q2,Kernel ridge,0.5834004852802035,0.08141446398832025,4.457616332991165
2017Q2,Gaussian process,0.8765741240732449,0.03916223429462719,85.91518574999645
2017Q2,NGBoost,0.872844279716012,0.04167935637292265,27.833278915990377
2017Q2,kNN,0.5956181072073758,0.056351259243386145,0.06532666701241396
2017Q3,Dynamic ET,0.9089311469419379,0.03446365782599999,7.552204916995834
2017Q3,Thin-plate spline,0.7656924650246144,0.055655354136360885,0.5885456250107381
2017Q3,Kernel ridge,0.6972512895086291,0.07046459086850689,3.521523207993596
2017Q3,Gaussian process,0.8610424349413911,0.04326960794435348,72.76647262499318
2017Q3,NGBoost,0.8744231083666709,0.04050373550307907,35.64389029200538
2017Q3,kNN,0.6868043256487402,0.05385872395803403,0.07733300000836607
2017Q4,Dynamic ET,0.9190289027654727,0.03041285420933335,5.7491894160048105
2017Q4,Thin-plate spline,0.7784259827908013,0.06149949625623208,0.606757417001063
2017Q4,Kernel ridge,0.5993157516966612,0.08457890251244816,4.881153458001791
2017Q4,Gaussian process,0.9004237272851914,0.03591270686550761,86.35898045900103
2017Q4,NGBoost,0.8821375563536195,0.04491748147448549,26.48946587499813
2017Q4,kNN,0.6175024861880036,0.06288499427531662,0.07094025000697002
2018Q1,Dynamic ET,0.9139149238291752,0.03405463965999999,3.9561660420004046
2018Q1,Thin-plate spline,0.7827292869966338,0.06069073163791925,0.5452764579968061
2018Q1,Kernel ridge,0.7358475790147363,0.06776084671965557,3.5956378749979194
2018Q1,Gaussian process,0.8847951048606647,0.03913183047939924,82.32449204199656
2018Q1,NGBoost,0.8594230015373232,0.04719963260055705,33.00797287499881
2018Q1,kNN,0.6466417744511699,0.06007560425676047,0.0916569580003852
2018Q2,Dynamic ET,0.937936458758364,0.030282104026666704,5.536534792001476
2018Q2,Thin-plate spline,0.7774727883619516,0.06309416719351717,0.641936333006015
2018Q2,Kernel ridge,-0.004491449972299222,0.153201740142335,5.165884667003411
2018Q2,Gaussian process,0.9048022857509563,0.04048038611797087,86.20451991700975
2018Q2,NGBoost,0.8900385000161583,0.04645282958928427,30.834028958997806
2018Q2,kNN,0.6181706950337942,0.06493273167025379,0.06012083300447557
2018Q3,Dynamic ET,0.939567293416633,0.031316422936666685,3.622818791991449
2018Q3,Thin-plate spline,0.774205658518745,0.06166751963513357,0.5650640829990152
2018Q3,Kernel ridge,-4.892972234853257,0.33164971124462306,3.5659246249997523
2018Q3,Gaussian process,0.7635097150956283,0.07197548447242864,69.54654716700315
2018Q3,NGBoost,0.9016156677559775,0.04142431269700969,26.262676374986768
2018Q3,kNN,0.5859658500613598,0.07257124372125927,0.06387470901245251
2018Q4,Dynamic ET,0.8458885186267247,0.062357740882666664,3.711294375010766
2018Q4,Thin-plate spline,0.6483399828522015,0.08783310323991039,0.5634159999899566
2018Q4,Kernel ridge,0.6208220367895965,0.08665369512340106,3.9223972920008237
2018Q4,Gaussian process,0.7903885576752969,0.06960069525364652,79.35427816701122
2018Q4,NGBoost,0.7953145144324512,0.06826866386301572,32.86291154200444
2018Q4,kNN,0.5098550384902909,0.0844124762128294,0.07152354199206457
2019Q1,Dynamic ET,0.9291436589524662,0.03734791535366668,5.296771042005275
2019Q1,Thin-plate spline,0.7325538000916896,0.07583325203099223,0.6203302499925485
2019Q1,Kernel ridge,0.7499891218474218,0.0737763462773082,5.036220249996404
2019Q1,Gaussian process,0.903743025255681,0.0422914411946398,118.55661429099564
2019Q1,NGBoost,0.86625231687058,0.051014730485605245,26.13416674999462
2019Q1,kNN,0.6866664579686843,0.06834055971634567,0.058473583005252294
2019Q2,Dynamic ET,0.9206489961931044,0.036251585657333364,3.61844358300732
2019Q2,Thin-plate spline,0.7514995985753115,0.0659578890676165,0.5626464579981985
2019Q2,Kernel ridge,0.7622782938562835,0.0633113907056109,3.43083970900625
2019Q2,Gaussian process,0.909403065569754,0.039431519965297625,93.23745733300166
2019Q2,NGBoost,0.8689957657813987,0.04610916713824855,32.953311791003216
2019Q2,kNN,0.6883700553805183,0.05887214499525034,0.06927012500818819
2019Q3,Dynamic ET,0.9276793392935597,0.02997203496833335,3.589734249995672
2019Q3,Thin-plate spline,0.797901507060274,0.052872882978101735,0.5975095829926431
2019Q3,Kernel ridge,0.7858911573196029,0.052123144481459556,4.569459833001019
2019Q3,Gaussian process,0.9089850456555244,0.03441797667189615,71.50678287500341
2019Q3,NGBoost,0.8757300208480019,0.04139709097207762,26.73608845799754
2019Q3,kNN,0.7377629116306372,0.04928888476947499,0.058727915995405056
2019Q4,Dynamic ET,0.9141615713095856,0.03320434062566664,3.5028735830128426
2019Q4,Thin-plate spline,0.7891532149981109,0.06038985349213495,0.5701102500024717
2019Q4,Kernel ridge,-1.0723720753548616,0.18929885768903112,4.102468917000806
2019Q4,Gaussian process,0.6641703243700681,0.08052848491769515,62.370378292005626
2019Q4,NGBoost,0.8492544716934003,0.04665052041690222,32.175692457996774
2019Q4,kNN,0.5835465241124673,0.0628337060150974,0.09968170900538098
2020Q1,Dynamic ET,0.6320320598156037,0.09775645245066668,4.81096458400134
2020Q1,Thin-plate spline,0.5517509274749899,0.11216199791988073,0.65831079200143
2020Q1,Kernel ridge,0.27680516313853487,0.1563546417682904,4.782938459000434
2020Q1,Gaussian process,0.5609763003605395,0.11215427577167669,85.19218020900735
2020Q1,NGBoost,0.6046041020654942,0.10511818300725363,30.113581291006994
2020Q1,kNN,0.20543686458136223,0.13585706107907922,0.05753191601252183
2020Q2,Dynamic ET,0.8862312640923662,0.06091069515666667,3.332686082998407
2020Q2,Thin-plate spline,0.7520740779598836,0.07821518890671944,0.5741271660081111
2020Q2,Kernel ridge,0.6166817619261271,0.105503440974554,3.5686727079882985
2020Q2,Gaussian process,0.8471831152384546,0.07142684644933692,66.40593908399751
2020Q2,NGBoost,0.8610082879596603,0.06303888739296357,26.859321124997223
2020Q2,kNN,0.6082862846174256,0.09175252133566804,0.049885707994690165
2020Q3,Dynamic ET,0.7496315150089418,0.09319133462266672,3.760803124998347
2020Q3,Thin-plate spline,0.6691793539916662,0.10540714795373839,0.5724067909904988
2020Q3,Kernel ridge,-7.068277404076779,0.49574213175519866,3.474839875008911
2020Q3,Gaussian process,0.6243137483011975,0.11793154671605068,71.22002958299709
2020Q3,NGBoost,0.6805038381587063,0.10460541780852783,33.816625833002036
2020Q3,kNN,0.34396604253016716,0.12284857501785007,0.10253637500863988
2020Q4,Dynamic ET,0.7329924764609901,0.0893411636140002,5.469563583988929
2020Q4,Thin-plate spline,0.7058738427033999,0.07644822159817252,0.5928194169973722
2020Q4,Kernel ridge,0.5244995386278574,0.10827495476394566,4.8994287499954225
2020Q4,Gaussian process,0.6930903862925395,0.08768314340439938,78.90696245900472
2020Q4,NGBoost,0.7103611834271687,0.08102459380564683,28.154137584002456
2020Q4,kNN,0.5094811010076039,0.10454163132291269,0.04517804201168474
