fold,model,fit_s,pred_s,r2
2017Q3,iTransformer,78.46066074999544,0.09248733300046297,0.8900170706958417
2017Q3,FT-Transformer,94.86644833299943,0.08152454200171633,0.8936567486615927
2017Q3,DynET-mer,49.06474991700088,0.270883249999315,0.8968420953993059
2017Q3,DynET-mer2,49.54666200000065,0.24680924999847775,0.8923310741869446
2017Q3,LSTM,74.82724574999884,0.0879621669955668,0.8925439112671913
2017Q3,GRU,71.38260499999888,0.05561850000231061,0.9021803041158882
2018Q3,iTransformer,68.12033766600507,0.04660541599878343,0.8982314605881567
2018Q3,FT-Transformer,92.8308432079939,0.042290709003282245,0.901154867361306
2018Q3,DynET-mer,49.27495720799925,0.18778816700069,0.9099508645587469
2018Q3,DynET-mer2,49.02103854100278,0.21526687499863328,0.9185704208059349
2018Q3,LSTM,81.44935041600547,0.08757874999719206,0.8758088250178756
2018Q3,GRU,78.22387166700355,0.05498408299899893,0.9139485634748671
2019Q3,iTransformer,67.41638787500415,0.04984608300583204,0.9226102292887138
2019Q3,FT-Transformer,93.85419537500275,0.048616125000989996,0.9172943021863511
2019Q3,DynET-mer,58.68069112500234,0.2874072919948958,0.9265156436886235
2019Q3,DynET-mer2,55.956657665999955,0.2780053750029765,0.926667675078022
2019Q3,LSTM,212.25451483300276,0.3213097909974749,0.9283745088966064
2019Q3,GRU,283.7701025829956,0.06154016700020293,0.9295124527681117
