fold,tau,leaf,M,mf,inner_r2,r2,mae,secs
2017Q1,0.95,5,13,0.8666666666666667,0.8711940472410046,0.8691173052317004,0.04617620318937323,21.68136562500149
2017Q2,0.7,5,8,0.5333333333333333,0.9165339572376855,0.9319101496043222,0.026417143325792498,17.976408959017135
2017Q3,0.9,5,10,0.6666666666666666,0.9266827917528665,0.9189619409497719,0.03365551321011017,18.519562374975067
2017Q4,0.95,5,13,0.8666666666666667,0.91348828493477,0.9239862257625998,0.02996803010216686,19.805713916022796
2018Q1,0.7,2,7,0.4666666666666667,0.9256775808354152,0.9157636052329834,0.03297015396842755,19.91978250001557
2018Q2,0.8,5,8,0.5333333333333333,0.9194985860214495,0.9354246361859544,0.0314884024500666,19.160471624985803
2018Q3,0.8,2,8,0.5333333333333333,0.9385950454893024,0.9435688762251805,0.030631943099648097,21.052436249970924
2018Q4,0.8,2,8,0.5333333333333333,0.9324481980661197,0.84487761511997,0.0623354575435722,21.081323457998224
2019Q1,0.75,1,7,0.4666666666666667,0.8546373226679064,0.9289038702871145,0.036884214893666646,21.377443374949507
2019Q2,0.5,1,6,0.4,0.9243951427835897,0.9275802885875859,0.03563725440400008,26.312102041963954
2019Q3,0.95,1,12,0.8,0.9304510487539412,0.9256390839969144,0.030323849403333283,23.95655208302196
2019Q4,0.5,5,4,0.26666666666666666,0.9254446820359,0.9191375388116927,0.03315500933032256,18.590350624988787
2020Q1,0.9,5,10,0.6666666666666666,0.907118425428401,0.6165748820761126,0.09945455040599566,18.316799915977754
2020Q2,0.75,1,7,0.4666666666666667,0.5055653494605103,0.8765776211620874,0.06125752641900009,19.751593499968294
2020Q3,0.9,5,10,0.6666666666666666,0.893165853420336,0.7561375449358345,0.0933741318381494,18.522731000033673
2020Q4,0.7,1,7,0.4666666666666667,0.738793992414249,0.7433542748815378,0.0870501059226665,20.12833670800319
