fold,seed,model,d,r2,mae,secs
2017Q1,42,CatBoost,7,0.8494792444839578,0.05228224394849712,0.712798833992565
2017Q1,42,XGBoost,7,0.8249541415599975,0.059139547994286855,1.236571167013608
2017Q1,42,RF,7,0.8510724532055512,0.050459849827672494,1.4640553749923129
2017Q1,42,ET,7,0.8125391082218331,0.05784314648466663,3.0284422090044245
2017Q1,7,CatBoost,7,0.8517151489837527,0.051984878885726025,0.6438877919863444
2017Q1,7,XGBoost,7,0.7989572451677637,0.06272754918844652,1.3348263330117334
2017Q1,7,RF,7,0.8505404096275431,0.050578150840192994,1.4382696250104345
2017Q1,7,ET,7,0.8137666134690332,0.05721190348999993,2.9271700420067646
2017Q1,101,CatBoost,7,0.8440563835337409,0.0525544144624351,0.6492656250193249
2017Q1,101,XGBoost,7,0.808660080981001,0.06138353835937659,1.3709754160081502
2017Q1,101,RF,7,0.8509171281723099,0.05061012647536409,1.4627872499986552
2017Q1,101,ET,7,0.8122952081386425,0.05751193475666661,3.100415332999546
2017Q1,2024,CatBoost,7,0.8494069458121978,0.05224536568116279,0.5972328329808079
2017Q1,2024,XGBoost,7,0.8116392402242838,0.060887701672518564,1.4036612909985706
2017Q1,2024,RF,7,0.8492724141566539,0.050680464898053196,1.4812136249965988
2017Q1,2024,ET,7,0.8124462582229932,0.05747800006599995,3.2617145830008667
2017Q1,13,CatBoost,7,0.836071034488132,0.05476785210095353,0.6234067500045057
2017Q1,13,XGBoost,7,0.8063728808274785,0.06108210924909099,1.4466566659975797
2017Q1,13,RF,7,0.8515291485189289,0.050488286614620875,1.5210297080047894
2017Q1,13,ET,7,0.8138111881523231,0.05728413619466659,3.121492834005039
2017Q2,42,CatBoost,7,0.9199421198612638,0.0282649653699055,0.641639417008264
2017Q2,42,XGBoost,7,0.9161766088741866,0.02893507726763455,1.4120399160019588
2017Q2,42,RF,7,0.9217713392329612,0.027981614163151047,1.4986834579904098
2017Q2,42,ET,7,0.9154329387731471,0.02692826208466666,3.236069625010714
2017Q2,7,CatBoost,7,0.9195347478747045,0.028296556607017066,0.6601512499910314
2017Q2,7,XGBoost,7,0.9098334307378315,0.029885204669390517,1.453596125007607
2017Q2,7,RF,7,0.9214654001281806,0.027943978749740375,1.5054987920157146
2017Q2,7,ET,7,0.91628905470356,0.026884939374333314,3.262812250002753
2017Q2,101,CatBoost,7,0.9190015258570103,0.028483717442147335,0.6662006669794209
2017Q2,101,XGBoost,7,0.9088205194538272,0.030299619186821936,1.4434809999947902
2017Q2,101,RF,7,0.9208880759762241,0.028000489773292156,1.5050392080156598
2017Q2,101,ET,7,0.9159431653976605,0.026893107121999993,3.5863002080004662
2017Q2,2024,CatBoost,7,0.9212441800173408,0.02853502307883757,0.6665824580122717
2017Q2,2024,XGBoost,7,0.9123673379122504,0.029062280776256083,1.4179832499939948
2017Q2,2024,RF,7,0.9213140751780735,0.028001351930886563,1.5122404169815127
2017Q2,2024,ET,7,0.915347453849993,0.026886735987333325,3.426343540981179
2017Q2,13,CatBoost,7,0.9198042774491462,0.028689796381111334,0.6419567499833647
2017Q2,13,XGBoost,7,0.9074434071651745,0.029971789334597907,1.3923181669961195
2017Q2,13,RF,7,0.9205289308274099,0.02801854900900985,1.4694199159857817
2017Q2,13,ET,7,0.9151978762420843,0.026911529949999992,3.1168150829907972
2017Q3,42,CatBoost,7,0.9080961377904672,0.03577399871225372,0.6326747079729103
2017Q3,42,XGBoost,7,0.9049042446663865,0.03543756602253739,1.4591128329921048
2017Q3,42,RF,7,0.9139520476848872,0.034524989628023986,1.498172124993289
2017Q3,42,ET,7,0.911210247673885,0.034521105049999966,3.219612667016918
2017Q3,7,CatBoost,7,0.9095600283581756,0.035485989485617056,0.6414591660141014
2017Q3,7,XGBoost,7,0.9015603560966795,0.035383891561303775,1.418519416009076
2017Q3,7,RF,7,0.9144351833929791,0.03441707554168257,1.48364258397487
2017Q3,7,ET,7,0.9110948852953517,0.0345235180473333,3.230412292003166
2017Q3,101,CatBoost,7,0.9086345211153212,0.03551191729778793,0.6441040410136338
2017Q3,101,XGBoost,7,0.8983064939036198,0.035899578516398745,1.3376801249978598
2017Q3,101,RF,7,0.9136971077576705,0.03446843548908698,1.4691004159976728
2017Q3,101,ET,7,0.9106794028149907,0.03451022391799997,3.245863582997117
2017Q3,2024,CatBoost,7,0.9087498646482817,0.03571966415629858,0.6458728340221569
2017Q3,2024,XGBoost,7,0.9026307566698301,0.03546494755000305,1.43959629200981
2017Q3,2024,RF,7,0.9141509781215778,0.03451224979519634,1.5081969999882858
2017Q3,2024,ET,7,0.9101751566415197,0.034554102018666634,3.29216691700276
2017Q3,13,CatBoost,7,0.9074773649446329,0.0358687588005245,0.6270556669915095
2017Q3,13,XGBoost,7,0.9024699514192613,0.035237627992658935,1.361308082996402
2017Q3,13,RF,7,0.9143745331872601,0.03446515942557142,1.4529279590060469
2017Q3,13,ET,7,0.9100964997213614,0.034558987247333306,3.4190136669785716
2017Q4,42,CatBoost,7,0.9209305944968752,0.03291022283918218,0.6540892089833505
2017Q4,42,XGBoost,7,0.9045640224543344,0.03367526544426855,1.3920575419906527
2017Q4,42,RF,7,0.9178735709444419,0.030774456085711246,1.5692940419830848
2017Q4,42,ET,7,0.911373570518621,0.031260756546,3.24502550001489
2017Q4,7,CatBoost,7,0.9188208482284124,0.03311654860702956,0.6375614169810433
2017Q4,7,XGBoost,7,0.9045682378265963,0.034268605501395544,1.4064162080176175
2017Q4,7,RF,7,0.9187309230084445,0.030738402667850794,1.5668751249904744
2017Q4,7,ET,7,0.9114371304699856,0.031229580946000004,3.293031500012148
2017Q4,101,CatBoost,7,0.9205432336907152,0.03275843061293719,0.6430734580208082
2017Q4,101,XGBoost,7,0.8937677203335219,0.0357191810544494,1.4323282919940539
2017Q4,101,RF,7,0.9176350884560346,0.030761689008403703,1.5217975839914288
2017Q4,101,ET,7,0.912178785934314,0.031149799485666662,3.229531125020003
2017Q4,2024,CatBoost,7,0.9192531223777142,0.03313231603834852,0.6361995409824885
2017Q4,2024,XGBoost,7,0.9057550434129974,0.03398735555851078,1.4496308339876123
2017Q4,2024,RF,7,0.9176640644013244,0.03075495383384185,1.5269826249859761
2017Q4,2024,ET,7,0.9117197100761769,0.031205159773,3.1139026250166353
