fold,model,M_blocks,r2,mae,secs
2017Q1,ET,9,0.8125391082218331,0.05784314648466663,3.426608290988952
2017Q1,Dynamic ET,9,0.8523126924932837,0.04816738674566665,6.390456583001651
2017Q1,iTransformer,9,0.8735796685445034,0.039673356999818804,85.53112700005295
2017Q1,DynET-mer,9,0.8520835040624041,0.04718007152433334,62.08016258303542
2017Q2,ET,9,0.9154329387731471,0.02692826208466666,3.3159032500116155
2017Q2,Dynamic ET,9,0.9251814729104094,0.02628105745333334,4.071133209043182
2017Q2,iTransformer,9,0.8909081586548319,0.031789303947770436,80.89268404099857
2017Q2,DynET-mer,9,0.899577602749495,0.027434678159666707,57.33322212501662
2017Q3,ET,9,0.911210247673885,0.034521105049999966,3.248721417039633
2017Q3,Dynamic ET,9,0.9089311469419379,0.03446365782599999,3.7477074580383487
2017Q3,iTransformer,9,0.8900170706958417,0.03739208006009769,81.20924187498167
2017Q3,DynET-mer,9,0.8931038985385702,0.03540919019133333,61.03842783300206
2017Q4,ET,9,0.911373570518621,0.031260756546,3.2843945829663426
2017Q4,Dynamic ET,9,0.9190289027654727,0.03041285420933335,3.7755693750223145
2017Q4,iTransformer,9,0.9019625628055989,0.03116912044967747,76.61623375001363
2017Q4,DynET-mer,9,0.9097984104709882,0.030560910052333353,60.37524974998087
2018Q1,ET,8,0.9092459835201784,0.034995472296666684,3.109906541998498
2018Q1,Dynamic ET,8,0.9139149238291752,0.03405463965999999,3.4131990839960054
2018Q1,iTransformer,8,0.9093571870240285,0.033737768549676576,82.01150058297208
2018Q1,DynET-mer,8,0.9097578395320246,0.03406739598000001,79.58140629099216
2018Q2,ET,8,0.9344646879802921,0.030009649943333373,3.597919749969151
2018Q2,Dynamic ET,8,0.937936458758364,0.030282104026666704,5.93689800001448
2018Q2,iTransformer,8,0.9397788595012927,0.0289372262175436,101.3868408749695
2018Q2,DynET-mer,8,0.9364575073511717,0.030056558016666686,114.02908670896431
2018Q3,ET,7,0.9258675725855932,0.03499122128733334,6.159606833010912
2018Q3,Dynamic ET,7,0.939567293416633,0.031316422936666685,6.729370416025631
2018Q3,iTransformer,7,0.8982314605881567,0.04740601009423797,157.78507095802343
2018Q3,DynET-mer,7,0.9146247094492581,0.03887290079466665,115.36461345804855
2018Q4,ET,7,0.8308872458927554,0.06420777704466665,6.50266679096967
2018Q4,Dynamic ET,7,0.8458885186267247,0.06235774088266666,6.663221166993026
2018Q4,iTransformer,7,0.8371666295528933,0.06305763742972373,166.7747887080186
2018Q4,DynET-mer,7,0.8340320896847225,0.06311312202066667,120.36950837500626
2019Q1,ET,7,0.9231110427448193,0.04050927826866667,6.870560832961928
2019Q1,Dynamic ET,7,0.9291436589524662,0.03734791535366668,7.0393155419733375
2019Q1,iTransformer,7,0.9100736512248551,0.04181933172888469,171.17701300000772
2019Q1,DynET-mer,7,0.9192161222422354,0.04147972699666668,56.61299462500028
2019Q2,ET,7,0.9184341746166974,0.03664316059133337,3.428267457988113
2019Q2,Dynamic ET,7,0.9206489961931044,0.036251585657333364,3.548348625015933
2019Q2,iTransformer,7,0.9153516374173267,0.03797181574275144,68.87229333398864
2019Q2,DynET-mer,7,0.9244534660958036,0.035941284586000044,50.546466875006445
2019Q3,ET,7,0.923895746173601,0.031045286672000006,2.8712971250060946
2019Q3,Dynamic ET,7,0.9276793392935597,0.02997203496833335,2.963007291953545
2019Q3,iTransformer,7,0.9226102292887138,0.029700498173536618,69.7237733330112
2019Q3,DynET-mer,7,0.9244543538943618,0.030377218546000007,51.5386953339912
2019Q4,ET,7,0.9141508081068811,0.03270695809499999,2.89474108396098
2019Q4,Dynamic ET,7,0.9141615713095856,0.03320434062566664,2.933245416963473
2019Q4,iTransformer,7,0.9071505489789324,0.03802600392422549,72.21627987502143
2019Q4,DynET-mer,7,0.90323499850276,0.03681051602233335,52.953555374988355
2020Q1,ET,7,0.6007216270851318,0.10213968065000006,3.0385472499765456
2020Q1,Dynamic ET,7,0.6320320598156037,0.09775645245066668,3.0882461660075933
2020Q1,iTransformer,7,0.5957446402895067,0.11063446701965236,71.43598208401818
2020Q1,DynET-mer,7,0.6246313060225522,0.10089727817000006,51.225491957971826
2020Q2,ET,7,0.8815764760771473,0.06098300867266665,2.873327541979961
2020Q2,Dynamic ET,7,0.8862312640923662,0.06091069515666667,2.917420750018209
2020Q2,iTransformer,7,0.8787036023675524,0.06393044947651386,70.07350012497045
2020Q2,DynET-mer,7,0.882254300476617,0.06197735076533332,51.32910641597118
2020Q3,ET,7,0.7589584684796513,0.0902332687400001,3.0000948749948293
2020Q3,Dynamic ET,7,0.7496315150089418,0.09319133462266672,3.055487916979473
2020Q3,iTransformer,7,0.7243945769318861,0.09865854495104026,72.91281629103469
2020Q3,DynET-mer,7,0.7338555160206718,0.09278787725600002,52.18954195798142
2020Q4,ET,8,0.7002449344636368,0.09610251257000027,3.0917932080337778
2020Q4,Dynamic ET,8,0.7329924764609901,0.0893411636140002,3.3570172910112888
2020Q4,iTransformer,8,0.7767892321289561,0.0802232567788035,70.2071847920306
2020Q4,DynET-mer,8,0.7281842098583409,0.09178121330133347,52.04363516601734
