ticker,fold,model,r2,mae,rmse,fit_s,M_blocks,d,search_s,params
AAPL,2017Q1,Dynamic ET (tuned),0.8698399101259915,0.046025897458794464,0.07979420295641305,2.212467666999146,13,15,26.746595459000673,"{'tau': 0.95, 'leaf': 5, 'depth': 24, 'split': 5}"
AAPL,2017Q1,Dynamic ET,0.8535501368296718,0.04777340238066676,0.08464024391866892,3.5521745000005467,9,15,0.0,
AAPL,2017Q2,Dynamic ET (tuned),0.9316544734853452,0.026416140827769722,0.053654649159381035,1.5968606250025914,8,15,26.12992587500048,"{'tau': 0.7, 'leaf': 5, 'depth': 24, 'split': 2}"
AAPL,2017Q2,Dynamic ET,0.9282416373638229,0.026063203067333323,0.05497795391638651,3.517741457995726,9,15,0.0,
AAPL,2017Q3,Dynamic ET (tuned),0.9189619409497719,0.03365551321011017,0.058710767915506154,1.8502587499970105,10,15,26.67434733400296,"{'tau': 0.9, 'leaf': 5, 'depth': None, 'split': 5}"
AAPL,2017Q3,Dynamic ET,0.9132317633888174,0.03409257215533335,0.06075102799141699,3.5072715839996818,9,15,0.0,
AAPL,2017Q4,Dynamic ET (tuned),0.9237728859589743,0.029990338222790267,0.06425088295783744,2.2456453330014483,13,15,27.441292916999373,"{'tau': 0.95, 'leaf': 5, 'depth': 24, 'split': 5}"
AAPL,2017Q4,Dynamic ET,0.9155059924022451,0.030684937660666673,0.06764525155377153,3.6286848329982604,9,15,0.0,
AAPL,2018Q1,Dynamic ET (tuned),0.9149495514252697,0.03329379443654024,0.06703323003408755,2.2241958750018966,13,15,26.898300249995373,"{'tau': 0.95, 'leaf': 5, 'depth': 24, 'split': 5}"
AAPL,2018Q1,Dynamic ET,0.9142692867951798,0.03311269587999994,0.06730077427983494,3.286189459002344,8,15,0.0,
AAPL,2018Q2,Dynamic ET (tuned),0.9356922468306937,0.031180616714113367,0.057344694012711146,1.6287530410045292,6,15,25.572314541997912,"{'tau': 0.7, 'leaf': 3, 'depth': None, 'split': 2}"
AAPL,2018Q2,Dynamic ET,0.9303504821195498,0.03086629445066663,0.05967887516625937,3.4624827920051757,8,15,0.0,
AAPL,2018Q3,Dynamic ET (tuned),0.943464594810019,0.030791420262032576,0.05368667630022513,2.863388457997644,12,15,26.354601374994672,"{'tau': 0.95, 'leaf': 2, 'depth': None, 'split': 5}"
AAPL,2018Q3,Dynamic ET,0.9424390076795637,0.030957566840666677,0.054171442407637334,3.1619173750004848,7,15,0.0,
AAPL,2018Q4,Dynamic ET (tuned),0.84500175184283,0.0622921879896433,0.0871877205321161,2.02663491700514,7,15,25.00574337499711,"{'tau': 0.75, 'leaf': 2, 'depth': None, 'split': 5}"
AAPL,2018Q4,Dynamic ET,0.8449364997475107,0.06217509524800002,0.0872060710066473,3.178926249995129,7,15,0.0,
AAPL,2019Q1,Dynamic ET (tuned),0.9312996898980564,0.035780360091073486,0.06555127719354466,1.9644937499979278,6,15,24.04247462499916,"{'tau': 0.6, 'leaf': 1, 'depth': 24, 'split': 5}"
AAPL,2019Q1,Dynamic ET,0.9289038702871145,0.036884214893666646,0.06668448306839568,3.2940345000024536,7,15,0.0,
AAPL,2019Q2,Dynamic ET (tuned),0.9294208921260368,0.03534531240429724,0.06525271077977009,2.1467100840018247,7,15,24.251945791998878,"{'tau': 0.7, 'leaf': 1, 'depth': 24, 'split': 5}"
AAPL,2019Q2,Dynamic ET,0.9267657197414717,0.0358039340703334,0.06646877650643676,2.944155832999968,7,15,0.0,
AAPL,2019Q3,Dynamic ET (tuned),0.9275922523970419,0.02957989379626021,0.05413414567498544,2.805692750000162,7,15,24.73350541700347,"{'tau': 0.8, 'leaf': 1, 'depth': 24, 'split': 2}"
AAPL,2019Q3,Dynamic ET,0.9270513159463906,0.029892577990666608,0.05433597935692451,3.1248687090046587,7,15,0.0,
AAPL,2019Q4,Dynamic ET (tuned),0.9191375388116927,0.03315500933032256,0.06058487573220995,1.0896755419962574,4,15,23.12906279199524,"{'tau': 0.5, 'leaf': 5, 'depth': None, 'split': 5}"
AAPL,2019Q4,Dynamic ET,0.9196306625272056,0.032629098739333284,0.060399860794670635,3.1116953329983517,7,15,0.0,
AAPL,2020Q1,Dynamic ET (tuned),0.619382846683247,0.09891191175960874,0.16295963525079424,1.7172677499984275,7,15,22.883408916000917,"{'tau': 0.8, 'leaf': 3, 'depth': None, 'split': 5}"
AAPL,2020Q1,Dynamic ET,0.6282163321332541,0.097947748438,0.16105752442038107,3.141557291994104,7,15,0.0,
AAPL,2020Q2,Dynamic ET (tuned),0.8765776211620874,0.06125752641900009,0.09619765640485191,3.364364916997147,7,15,22.381922790998942,"{'tau': 0.75, 'leaf': 1, 'depth': None, 'split': 2}"
AAPL,2020Q2,Dynamic ET,0.8765776211620874,0.06125752641900009,0.09619765640485191,3.1996767919990816,7,15,0.0,
AAPL,2020Q3,Dynamic ET (tuned),0.7545997461664167,0.09364562109843788,0.13140884439163866,2.2351158749952447,12,15,23.629583166002703,"{'tau': 0.95, 'leaf': 5, 'depth': 24, 'split': 5}"
AAPL,2020Q3,Dynamic ET,0.7594092672382147,0.09145763003200004,0.13011475244102522,3.196947666001506,7,15,0.0,
AAPL,2020Q4,Dynamic ET (tuned),0.7644355238528021,0.08188619775358333,0.11326703443204005,1.6144400410048547,4,15,23.111670416998095,"{'tau': 0.6, 'leaf': 1, 'depth': 24, 'split': 5}"
AAPL,2020Q4,Dynamic ET,0.7387191400972912,0.08819542070333315,0.11928955794916006,3.445382124999014,8,15,0.0,
NVDA,2021Q1,Dynamic ET (tuned),0.8987758721342078,0.056567940083107456,0.09011170751315889,2.170849458001612,9,15,24.326046000001952,"{'tau': 0.85, 'leaf': 3, 'depth': None, 'split': 5}"
NVDA,2021Q1,Dynamic ET,0.8908136245865205,0.058124214417333266,0.09358870155919485,3.6522610839965637,9,15,0.0,
NVDA,2021Q2,Dynamic ET (tuned),0.8073977850561168,0.09192111037858648,0.11445987616960736,1.9054772919989773,9,15,23.958721332994173,"{'tau': 0.85, 'leaf': 5, 'depth': None, 'split': 2}"
NVDA,2021Q2,Dynamic ET,0.7890198289797538,0.09428156233266675,0.11979631334307436,3.605907124998339,8,15,0.0,
NVDA,2021Q3,Dynamic ET (tuned),0.8776523374602325,0.05920501924627519,0.08680703989609566,1.7209689170049387,8,15,23.55748958299955,"{'tau': 0.85, 'leaf': 5, 'depth': None, 'split': 2}"
NVDA,2021Q3,Dynamic ET,0.8709885582536216,0.0594108494486665,0.08913971129551869,3.4787119590037037,8,15,0.0,
NVDA,2021Q4,Dynamic ET (tuned),0.8047104140564793,0.0717958891960787,0.10021854077522592,1.9008163340040483,9,15,23.740598459000466,"{'tau': 0.85, 'leaf': 5, 'depth': None, 'split': 2}"
NVDA,2021Q4,Dynamic ET,0.8004445674945789,0.07181796019399982,0.10130719953221334,3.786546624993207,9,15,0.0,
NVDA,2022Q1,Dynamic ET (tuned),0.7471880101948618,0.08505080113447447,0.12528243380926093,1.9450602920042002,5,15,24.498344999999972,"{'tau': 0.6, 'leaf': 1, 'depth': 24, 'split': 5}"
