fold,model,M_blocks,d,r2,mae
2017Q1,Dynamic ET,8,18,0.8580974201786662,0.045888169864000065
2017Q1,ET-enr,8,18,0.8511892883028864,0.04739372569800007
2017Q1,BF-varsel,8,18,0.8642005635539578,0.04475178371733338
2017Q1,BF-default,8,18,0.8730629261687841,0.04383573435395387
2017Q1,BF-corr,8,18,0.8611822893258908,0.046988852574901235
2017Q2,Dynamic ET,8,18,0.9263686896889928,0.02608167831799996
2017Q2,ET-enr,8,18,0.9256052428885495,0.02620707212733329
2017Q2,BF-varsel,8,18,0.927749769644177,0.025929595261333302
2017Q2,BF-default,8,18,0.9278051820687016,0.025823860225433568
2017Q2,BF-corr,8,18,0.9224028140694739,0.026112291264251186
2017Q3,Dynamic ET,8,18,0.9067739671833572,0.03461464090933333
2017Q3,ET-enr,8,18,0.907481707235943,0.03492099006133335
2017Q3,BF-varsel,8,18,0.9079144153938634,0.03438275262
2017Q3,BF-default,8,18,0.9103051684723205,0.03363801517876672
2017Q3,BF-corr,8,18,0.9097728455837649,0.034017170866323276
2017Q4,Dynamic ET,8,18,0.919283585704771,0.029946098907333345
2017Q4,ET-enr,8,18,0.9170545335267253,0.030306969322666667
2017Q4,BF-varsel,8,18,0.9192645229887824,0.029787064078666665
2017Q4,BF-default,8,18,0.9187769385174395,0.02999156050998027
2017Q4,BF-corr,8,18,0.920334809604628,0.029952122554574013
2018Q1,Dynamic ET,8,18,0.9151485289695345,0.0335313790813333
2018Q1,ET-enr,8,18,0.9163127235254279,0.03311760285733331
2018Q1,BF-varsel,8,18,0.9152496804446757,0.03347974096199996
2018Q1,BF-default,8,18,0.9113329384811071,0.033980254335204366
2018Q1,BF-corr,8,18,0.9139027245633008,0.03304339450155811
2018Q2,Dynamic ET,8,18,0.9389120907347644,0.029932887326666692
2018Q2,ET-enr,8,18,0.9389742108788898,0.029463334708000024
2018Q2,BF-varsel,8,18,0.9374762823107363,0.03022863407333335
2018Q2,BF-default,8,18,0.9367506155433177,0.03071314211894547
2018Q2,BF-corr,8,18,0.9383437385174318,0.03012722327343727
2018Q3,Dynamic ET,8,18,0.9395968236161594,0.03119873750666668
2018Q3,ET-enr,8,18,0.9380958574075268,0.032397787664000026
2018Q3,BF-varsel,8,18,0.9405517487363054,0.030675226707333348
2018Q3,BF-default,8,18,0.9404467701782774,0.029668901176170825
2018Q3,BF-corr,8,18,0.9393120020862182,0.030880835705382633
2018Q4,Dynamic ET,8,18,0.8476993997352962,0.06189189268666667
2018Q4,ET-enr,8,18,0.8466012722554062,0.06192476376666667
2018Q4,BF-varsel,8,18,0.8487315102475874,0.06170611678200001
2018Q4,BF-default,8,18,0.8448057433237437,0.06174944275675915
2018Q4,BF-corr,8,18,0.8460686153260155,0.06176437430137137
2019Q1,Dynamic ET,8,18,0.929923941421219,0.03678913101933333
2019Q1,ET-enr,8,18,0.9259625927857845,0.039523709385999986
2019Q1,BF-varsel,8,18,0.9317888595036697,0.035543040952000005
2019Q1,BF-default,8,18,0.9333732293770465,0.03339786651630588
2019Q1,BF-corr,8,18,0.9292039715757976,0.03703356369401399
2019Q2,Dynamic ET,9,18,0.9205653801388818,0.03630062977733331
2019Q2,ET-enr,9,18,0.920521083396948,0.03640567915066664
2019Q2,BF-varsel,9,18,0.9199439417053898,0.03606366880999998
2019Q2,BF-default,9,18,0.9190620495849178,0.03545866139722207
2019Q2,BF-corr,9,18,0.9180171027245202,0.035987277588399307
2019Q3,Dynamic ET,8,18,0.9274481335307485,0.02990232377933333
2019Q3,ET-enr,8,18,0.9261079976070268,0.03033567782
2019Q3,BF-varsel,8,18,0.9282273875866255,0.02967204316066666
2019Q3,BF-default,8,18,0.9284170391311495,0.029151223090530635
2019Q3,BF-corr,8,18,0.9287040516929685,0.02960353726763563
2019Q4,Dynamic ET,8,18,0.9172010714801623,0.032176537144
2019Q4,ET-enr,8,18,0.9153510299730677,0.03250600372133334
2019Q4,BF-varsel,8,18,0.9188273267180215,0.031915455311333336
2019Q4,BF-default,8,18,0.9185318330075746,0.031594085494731444
2019Q4,BF-corr,8,18,0.9181644508219563,0.03150866634619098
2020Q1,Dynamic ET,8,18,0.6292276550566225,0.098034838412
2020Q1,ET-enr,8,18,0.6302115056680893,0.09809440709466667
2020Q1,BF-varsel,8,18,0.6307639285789416,0.09773502651666667
2020Q1,BF-default,8,18,0.6209795550306355,0.09776521101033943
2020Q1,BF-corr,8,18,0.6327468919699522,0.0969967246099321
2020Q2,Dynamic ET,8,18,0.8847812145554625,0.06131664297999999
2020Q2,ET-enr,8,18,0.8854649057604287,0.06104607565066666
2020Q2,BF-varsel,8,18,0.8832054848375839,0.06160940208933331
2020Q2,BF-default,8,18,0.8797853175028982,0.061634140650920606
2020Q2,BF-corr,8,18,0.8893778067230649,0.059679434106356864
2020Q3,Dynamic ET,8,18,0.7584018361036826,0.09185958374666667
2020Q3,ET-enr,8,18,0.7514043162245372,0.09194515878266667
2020Q3,BF-varsel,8,18,0.7647120215309513,0.09108841947066666
2020Q3,BF-default,8,18,0.7610038138130042,0.09168006359499273
2020Q3,BF-corr,8,18,0.7551364904247326,0.09124172390495447
2020Q4,Dynamic ET,9,18,0.7378953283294418,0.08877807207200006
2020Q4,ET-enr,9,18,0.7106152000338876,0.09444746687066675
2020Q4,BF-varsel,9,18,0.7536007191052799,0.08459119575333339
2020Q4,BF-default,9,18,0.7758737908297215,0.07697424263474713
2020Q4,BF-corr,9,18,0.7150253500102923,0.092627043512058
