setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,42,"12,110 American",RF,all,11563,,-3.3099298206237835,0.3185613781406207,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",RF,deep OTM,2524,,-3.1951575614178216,0.3346932536800051,
transfer,42,"12,110 American",RF,OTM,1812,,-4.549916632576432,0.32908849529378204,
transfer,42,"12,110 American",RF,ATM,1934,,-5.068215088778016,0.28820314551775233,
transfer,42,"12,110 American",RF,ITM,1586,,-5.8293023893699285,0.3338502126597307,
transfer,42,"12,110 American",RF,deep ITM,3707,,-3.5784626661489156,0.3117290987239453,
transfer,7,held out,Dynamic ET,all,887,16.0,0.8328105316831566,0.052371313483652655,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,Dynamic ET,OTM,285,16.0,0.8424066036868426,0.049476883543859276,
transfer,7,held out,Dynamic ET,ATM,302,16.0,0.875870973945912,0.04626070225165557,
transfer,7,held out,Dynamic ET,ITM,275,16.0,0.810781279518787,0.056926923418181966,
transfer,7,2017 European,Dynamic ET,all,1700,16.0,0.06135856569386722,0.10337040437647053,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,Dynamic ET,OTM,412,16.0,0.4395554844638674,0.08076392109223297,
transfer,7,2017 European,Dynamic ET,ATM,772,16.0,-0.12996377708743756,0.10171874777202068,
transfer,7,2017 European,Dynamic ET,ITM,494,16.0,-0.13670235245709184,0.12456296641700398,
transfer,7,"12,110 American",Dynamic ET,all,11563,16.0,-0.3151390619572012,0.16935842820807734,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",Dynamic ET,deep OTM,2524,16.0,0.033956029027554235,0.1538557584425516,
transfer,7,"12,110 American",Dynamic ET,OTM,1812,16.0,-0.5388383270716686,0.16844103904359806,
transfer,7,"12,110 American",Dynamic ET,ATM,1934,16.0,-0.8331940689294381,0.15681470914787984,
transfer,7,"12,110 American",Dynamic ET,ITM,1586,16.0,-0.9978562493163918,0.17927721291866316,
transfer,7,"12,110 American",Dynamic ET,deep ITM,3707,16.0,-0.7259009689704601,0.18266282738953304,
transfer,7,held out,ET-aug,all,887,,0.839502286582615,0.05151611512382481,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,held out,ET-aug,OTM,285,,0.8501892187901866,0.0486356266180042,
transfer,7,held out,ET-aug,ATM,302,,0.8804669415275864,0.04541090748414733,
transfer,7,held out,ET-aug,ITM,275,,0.8195586692440766,0.05593541652916238,
transfer,7,2017 European,ET-aug,all,1700,,0.05440835478113715,0.1030985401111776,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,2017 European,ET-aug,OTM,412,,0.4522136209208397,0.07945555112505676,
transfer,7,2017 European,ET-aug,ATM,772,,-0.1462389402128359,0.10148692952012034,
transfer,7,2017 European,ET-aug,ITM,494,,-0.15045830768377,0.1250709431528765,
transfer,7,"12,110 American",ET-aug,all,11563,,-0.41185920687881983,0.1770817471635101,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,"12,110 American",ET-aug,deep OTM,2524,,-0.07922811758478132,0.1650594479493859,
transfer,7,"12,110 American",ET-aug,OTM,1812,,-0.6992353564992848,0.1786654494797673,
transfer,7,"12,110 American",ET-aug,ATM,1934,,-0.9764710067809093,0.1624997101475525,
transfer,7,"12,110 American",ET-aug,ITM,1586,,-1.1569044904035644,0.18643798030268774,
transfer,7,"12,110 American",ET-aug,deep ITM,3707,,-0.796690586488841,0.18809801057044778,
transfer,7,held out,ET,all,887,,0.8290009920206765,0.05050653149943618,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,ET,OTM,285,,0.8491526748974254,0.04717329996491194,
transfer,7,held out,ET,ATM,302,,0.8508091566722632,0.04683231115894033,
transfer,7,held out,ET,ITM,275,,0.818172812628186,0.0531371862181819,
transfer,7,2017 European,ET,all,1700,,0.06651556917584223,0.10275553645882347,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,ET,OTM,412,,0.42949487844056944,0.08070587990291253,
transfer,7,2017 European,ET,ATM,772,,-0.05442557735438025,0.09926979038860097,
transfer,7,2017 European,ET,ITM,494,,-0.19764370901677109,0.12635687117408906,
transfer,7,"12,110 American",ET,all,11563,,-1.2246690214678884,0.22718039754146838,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",ET,deep OTM,2524,,-0.7714893616703407,0.2132609577904121,
transfer,7,"12,110 American",ET,OTM,1812,,-1.9606973244401247,0.2404909189100439,
transfer,7,"12,110 American",ET,ATM,1934,,-2.669012447897557,0.2256420162843847,
transfer,7,"12,110 American",ET,ITM,1586,,-2.6638864089708245,0.24528126842812079,
transfer,7,"12,110 American",ET,deep ITM,3707,,-1.4305589973660449,0.22320986863312645,
transfer,7,held out,RF,all,887,,0.8368512590989026,0.052570609845922586,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,RF,OTM,285,,0.8377086688358054,0.04914452678362575,
transfer,7,held out,RF,ATM,302,,0.881749140576702,0.047258891280353175,
transfer,7,held out,RF,ITM,275,,0.8196431152845863,0.056040810424242415,
