ticker,raw_rows,sides,clean,d0,d1,quarters,folds,iv_mean,iv_sd,m_lo,m_hi,T_med,spr_med,call
AAPL,1015352,2030704,1547107,2016-01-04,2020-12-31,20,16,0.38878749610078683,0.24308055693278577,0.5454705882352942,1.942181818181818,0.1643835616438356,0.20000000000000284,0.5342772025464302
NVDA,1048761,2097522,1552203,2020-01-02,2022-12-30,12,8,0.575349183734344,0.26692928540788197,0.5227692307692308,1.949357142857143,0.17523287671232876,1.1000000000000014,0.5035849048094869
QQQ,1775749,3551498,3042258,2021-01-04,2022-12-30,8,4,0.32746514011960853,0.19260303294886016,0.5785147063688999,1.875142857142857,0.136986301369863,0.1900000000000004,0.5151972646632863
TSLA,2659259,5318518,3214103,2019-01-02,2022-12-30,16,12,0.7356040186919959,0.2741885842242797,0.5123428571428571,1.955663430420712,0.2327671232876712,1.910000000000025,0.509877561484495
SPY,3589079,7178158,6170169,2020-01-02,2022-12-30,12,8,0.3018328520985406,0.2080670422147976,0.6318382352941176,1.8832820512820514,0.21106849315068496,0.28000000000000114,0.5110226316329423
