column,rows,rows_admissible,pearson_all,spearman_all,pearson_admissible
delta,1754608,1723724,0.999538000264242,0.9978321667783315,0.9995832139485707
gamma,1754608,1723724,0.0003857843632603533,0.9718585538270337,0.9934053861403636
vega,1754608,1723724,0.05635266674897892,0.9977605698571577,0.999336787539038
