ticker,fold,model,days,gross,sd,net25,net50,c25,c50
AAPL,2017Q1,Dynamic ET,61,0.0004537240831083611,0.002139124678187956,-0.002435839960404565,-0.005325404003917491,0.002889564043512926,0.005779128087025852
AAPL,2017Q1,ET-aug,61,0.00045925712600011206,0.0023127009480936453,-0.002424677289697672,-0.005308611705395456,0.0028839344156977847,0.005767868831395569
AAPL,2017Q1,ET,61,0.0005717761143341309,0.003134733953604474,-0.0024855700831708342,-0.005542916280675798,0.003057346197504964,0.006114692395009928
AAPL,2017Q2,Dynamic ET,62,0.0011053939620350223,0.0020462617965091717,-0.0013873945838156988,-0.00388018312966642,0.002492788545850722,0.004985577091701444
AAPL,2017Q2,ET-aug,62,0.0010790134244494313,0.0019771627814790323,-0.0014047067607144527,-0.003888426945878337,0.002483720185163884,0.004967440370327768
AAPL,2017Q2,ET,62,0.0011511355669014823,0.0020861341702701893,-0.0013983270265483555,-0.003947789619998194,0.002549462593449838,0.005098925186899676
AAPL,2017Q3,Dynamic ET,61,0.0006157886108330808,0.001950588141059102,-0.002257693476709035,-0.005131175564251151,0.002873482087542115,0.00574696417508423
AAPL,2017Q3,ET-aug,61,0.0005860096075338271,0.0019191904571547538,-0.002278195982498191,-0.005142401572530208,0.0028642055900320175,0.005728411180064035
AAPL,2017Q3,ET,61,0.0007127153244894255,0.0024895317836503774,-0.0021549977179269766,-0.005022710760343378,0.002867713042416402,0.005735426084832804
AAPL,2017Q4,Dynamic ET,62,0.0007284246628231917,0.0026242784703007062,-0.0022872175755356146,-0.00530285981389442,0.0030156422383588056,0.006031284476717611
AAPL,2017Q4,ET-aug,62,0.00068489337562262,0.0026245190813524695,-0.002320698528513548,-0.0053262904326497156,0.0030055919041361676,0.006011183808272335
AAPL,2017Q4,ET,62,0.0007512939736802329,0.0025643702316992057,-0.0023066383568175566,-0.005364570687315347,0.00305793233049779,0.00611586466099558
AAPL,2018Q1,Dynamic ET,60,0.0011653576532293505,0.004122000633555972,-0.0037938135606968583,-0.00875298477462307,0.004959171213926209,0.009918342427852419
AAPL,2018Q1,ET-aug,60,0.0011442887804900025,0.004150066186696424,-0.0038499958257493553,-0.008844280431988713,0.004994284606239357,0.009988569212478714
AAPL,2018Q1,ET,60,0.0012387405868346136,0.004330445681295833,-0.0038667781698368832,-0.008972296926508383,0.005105518756671497,0.010211037513342994
AAPL,2018Q2,Dynamic ET,63,0.0008393678089187713,0.0019070415442260268,-0.004547963971760685,-0.009935295752440143,0.005387331780679457,0.010774663561358915
AAPL,2018Q2,ET-aug,63,0.0008284704937582198,0.0018841920189653187,-0.004579566677614703,-0.00998760384898763,0.005408037171372925,0.01081607434274585
AAPL,2018Q2,ET,63,0.0009136015121973198,0.001915845703383958,-0.00447635700696053,-0.00986631552611838,0.005389958519157848,0.010779917038315696
AAPL,2018Q3,Dynamic ET,62,0.0004285933513980994,0.0030620612148410963,-0.0027016803040216296,-0.005831953959441359,0.003130273655419729,0.006260547310839458
AAPL,2018Q3,ET-aug,62,0.00041056442907146947,0.003158149391961599,-0.0025423307560319586,-0.005495225941135387,0.0029528951851034283,0.005905790370206857
