n_pairs,rho,seed,B,mf,eff_rank,redundancy,rule,allcand,best_fixed,gain,mf0.2,mf0.3,mf0.4,mf0.5,mf0.6,mf0.7,mf0.8,mf0.9,mf1.0
1,0.3,0,14,0.9333333333333333,14.677061063051069,0.021529262463262144,0.8424592726657332,0.8428058837144947,0.8428058837144947,-0.000346611048761547,0.7598295421295032,0.788273785711999,0.8172213822987797,0.8245916805081611,0.8341588336784935,0.8363348014973504,0.8402559479184638,0.8415187184737132,0.8428058837144947
1,0.3,1,14,0.9333333333333333,14.679919954342816,0.02133866971047893,0.8414731937440092,0.8421564526194355,0.8421564526194355,-0.0006832588754263069,0.7548892961555214,0.7846111587137301,0.8148800556574067,0.8233984449608893,0.8335676108509668,0.835981204353788,0.8396755459979378,0.8414185015431772,0.8421564526194355
1,0.3,2,14,0.9333333333333333,14.681985520647721,0.02120096529015192,0.8372790120127258,0.8369828683976543,0.8369828683976543,0.0002961436150714647,0.7580143858051136,0.7857334647794585,0.8150149112531831,0.8221204515610967,0.8303493261319611,0.8318983143196043,0.8359161124129615,0.8369476963544844,0.8369828683976543
1,0.3,3,14,0.9333333333333333,14.681217587960171,0.02125216080265524,0.8483367276549599,0.8484345022743941,0.8484345022743941,-9.777461943416554e-05,0.7629273389362071,0.7926616381801918,0.822687334264209,0.830474811635647,0.8396758037849041,0.8420820624461787,0.8456425665652936,0.8469825890296293,0.8484345022743941
1,0.3,4,14,0.9333333333333333,14.683616311752216,0.02109224588318559,0.8410479799304902,0.8410180933938812,0.8410180933938812,2.988653660895846e-05,0.7557044040189578,0.7865304678978995,0.8164252370755056,0.8228570846411533,0.8336687133942606,0.8365555646548739,0.8386561491176794,0.8400466872813235,0.8410180933938812
1,0.6,0,14,0.9333333333333333,14.322895035413179,0.045140330972454734,0.8417013684730679,0.8413418195271025,0.8413418195271025,0.0003595489459653489,0.763820884094486,0.7906897397226714,0.8187117798377722,0.8254604091754596,0.8334168902778689,0.835016335634374,0.8392892245888718,0.8405496264309416,0.8413418195271025
1,0.6,1,14,0.9333333333333333,14.328657639576942,0.04475615736153715,0.8394436398245976,0.8404245627350933,0.8404245627350933,-0.000980922910495674,0.7589783944317221,0.7870321453049038,0.8153852393277257,0.8225598851197413,0.8327128810256184,0.8341826887149095,0.8377002783252255,0.8393169722396333,0.8404245627350933
1,0.6,2,14,0.9333333333333333,14.326556291715528,0.04489624721896479,0.8357512688529509,0.8359325681479557,0.8360009786411327,-0.0001812992950047665,0.7616611545870413,0.7881273203613228,0.8154935168905952,0.8222509847659785,0.8292436970359851,0.8305269815182811,0.8340226467274054,0.8360009786411327,0.8359325681479557
1,0.6,3,14,0.9333333333333333,14.329506268102648,0.04469958212649017,0.8468833635104485,0.8474583388348772,0.8474583388348772,-0.0005749753244287392,0.7684221099080812,0.7954766896489185,0.8227253791816462,0.8300222850104826,0.8388287869707046,0.8405127806859501,0.8446069437529233,0.8457784822542531,0.8474583388348772
1,0.6,4,14,0.9333333333333333,14.330641094067984,0.04462392706213447,0.8392439831884277,0.8402008612477725,0.8402008612477725,-0.0009568780593447457,0.7607406771708011,0.7895706419040783,0.8173915690628414,0.822679348338899,0.8325401738648479,0.8351791561107846,0.8376617477454594,0.8391146540114862,0.8402008612477725
1,0.9,0,14,0.9333333333333333,13.887504474537671,0.07416636836415524,0.8412722149193402,0.8417645570578536,0.8417645570578536,-0.0004923421385133464,0.7705452650037056,0.7954461871437843,0.8220013532835384,0.8273209908439696,0.8344726581618259,0.8355605550577913,0.8398966140445779,0.8400391592544068,0.8417645570578536
1,0.9,1,14,0.9333333333333333,13.891274680195243,0.07391502132031713,0.8396751040944204,0.839621313158074,0.839621313158074,5.379093634638732e-05,0.76727092946652,0.7920336027503863,0.8174100912615633,0.824121917328055,0.8338654067702249,0.8348897334390994,0.8376305019872999,0.8390169513998724,0.839621313158074
1,0.9,2,14,0.9333333333333333,13.887980255070081,0.07413464966199457,0.8352436140383939,0.8355921370020689,0.8355921370020689,-0.0003485229636750464,0.7679020507930967,0.7928288424689466,0.8171141102587587,0.8240617070496326,0.8301523532323968,0.83066800208197,0.8347192500776536,0.835242670460416,0.8355921370020689
1,0.9,3,14,0.9333333333333333,13.89176487011057,0.07388234199262866,0.8464935445734464,0.8465992931483367,0.8465992931483367,-0.00010574857489031864,0.7751789082329432,0.8007325811342687,0.8258408487790576,0.8314796723119612,0.8391078337643697,0.8411064673102693,0.8444927252982075,0.8456851183586024,0.8465992931483367
1,0.9,4,14,0.9333333333333333,13.89199845163601,0.07386676989093266,0.8403398058987842,0.840422872567512,0.840422872567512,-8.306666872781587e-05,0.768642532262482,0.7937025257010999,0.8208016732239167,0.8261966620019997,0.833754780128514,0.836717460252887,0.8381339813636208,0.8389548963328899,0.840422872567512
1,0.99,0,14,0.9333333333333333,13.702586750420423,0.08649421663863843,0.8432633189429317,0.8430176504813958,0.8430176504813958,0.0002456684615359528,0.7737094316639085,0.7981461852278605,0.822863945533429,0.8291868190285373,0.8363096327239808,0.8379972863781294,0.8409162676360247,0.8414082764718831,0.8430176504813958
1,0.99,1,14,0.9333333333333333,13.70341561366535,0.0864389590889767,0.841167444274632,0.8410770209696102,0.8410770209696102,9.042330502173623e-05,0.7698087097979065,0.7950622745032315,0.8202954607508133,0.8271415428453417,0.8342379756365017,0.8370665926241495,0.8388199451994243,0.8405928741175421,0.8410770209696102
