fold,seed,model,M_blocks,d,r2,mae,secs
2017Q1,42,Dynamic ET,9,15,0.8523126924932837,0.04816738674566666,3.8893337920017075
2017Q1,42,ET-aug,9,15,0.850880548981642,0.048045832919666645,5.014098082989221
2017Q1,42,BF-default,9,15,0.8570956377922951,0.04960680391175872,21.636440541013144
2017Q1,7,Dynamic ET,9,15,0.8507931938906821,0.04836363666266667,4.046315041006892
2017Q1,7,ET-aug,9,15,0.8499093420734349,0.04819241554099998,5.340140083004371
2017Q1,7,BF-default,9,15,0.8558643567486204,0.049655108092251043,21.827297374999034
2017Q1,101,Dynamic ET,9,15,0.8515616866080256,0.04829506475299999,3.828584792005131
2017Q1,101,ET-aug,9,15,0.8515557370851581,0.04787371458866666,5.074525040996377
2017Q1,101,BF-default,9,15,0.8545514307569997,0.05024726290258694,21.840070000005653
2017Q1,2024,Dynamic ET,9,15,0.852150241607348,0.04785844227733332,3.930021874999511
2017Q1,2024,ET-aug,9,15,0.8496944594275733,0.04821773296433333,5.505223458996625
2017Q1,2024,BF-default,9,15,0.8548337231414289,0.0503002056877659,22.564795750004123
2017Q1,13,Dynamic ET,9,15,0.8523397959108853,0.04808513403099998,3.7807917919999454
2017Q1,13,ET-aug,9,15,0.8514089587885606,0.048031528382,5.499872542000958
2017Q1,13,BF-default,9,15,0.854400454457895,0.050263421527384756,22.801080750010442
2017Q2,42,Dynamic ET,9,15,0.9251814729104094,0.02628105745333334,3.822289333009394
2017Q2,42,ET-aug,9,15,0.9242579291387082,0.02646891132233333,5.508232082996983
2017Q2,42,BF-default,9,15,0.9153230072850056,0.027690420187179605,22.611105165997287
2017Q2,7,Dynamic ET,9,15,0.9255467923243823,0.026267902829333327,3.623000999999931
2017Q2,7,ET-aug,9,15,0.9249180942973316,0.026444612526999995,5.317535708003561
2017Q2,7,BF-default,9,15,0.9149788580687596,0.027833500693201813,21.133172834001016
2017Q2,101,Dynamic ET,9,15,0.925072986413303,0.026318988422666674,3.4765125830017496
2017Q2,101,ET-aug,9,15,0.9247394913986409,0.026460139463666665,4.679690625009243
2017Q2,101,BF-default,9,15,0.9156414645607107,0.027723426354687372,20.979428791993996
2017Q2,2024,Dynamic ET,9,15,0.9254739872061577,0.026274264937999996,3.444663207992562
2017Q2,2024,ET-aug,9,15,0.9244142273792377,0.02645529204699999,5.172050165987457
2017Q2,2024,BF-default,9,15,0.9159544953717258,0.027633618955683784,21.292025500006275
2017Q2,13,Dynamic ET,9,15,0.9252660267500447,0.026289072154333324,3.4307310420117574
2017Q2,13,ET-aug,9,15,0.9241890942352768,0.026449597716666655,5.134727208002005
2017Q2,13,BF-default,9,15,0.9154777016661556,0.027834733936872847,21.712076791998697
2017Q3,42,Dynamic ET,9,15,0.9089311469419379,0.03446365782599999,3.6436005419964204
2017Q3,42,ET-aug,9,15,0.9088945433917685,0.03463128058933331,4.961567541002296
2017Q3,42,BF-default,9,15,0.910238418953478,0.03309354508185789,21.93193591700401
2017Q3,7,Dynamic ET,9,15,0.9087095633945539,0.034431260269999986,3.596237709003617
2017Q3,7,ET-aug,9,15,0.9087148408359275,0.03462493164466664,5.266980000000331
2017Q3,7,BF-default,9,15,0.9110262295443209,0.03309787257380325,22.444723291991977
2017Q3,101,Dynamic ET,9,15,0.9087111692738888,0.034475628890666646,3.8565008339937776
2017Q3,101,ET-aug,9,15,0.9086737549508374,0.034653937517999986,5.134687208003015
2017Q3,101,BF-default,9,15,0.9101325762501578,0.033061882799311264,22.102620499994373
2017Q3,2024,Dynamic ET,9,15,0.9087916915713147,0.03447751513866665,3.7553749159997096
2017Q3,2024,ET-aug,9,15,0.9087992782454983,0.03461849979466664,5.387119208011427
2017Q3,2024,BF-default,9,15,0.910387391174434,0.033103581342091536,21.89116670799558
2017Q3,13,Dynamic ET,9,15,0.9085039273979753,0.03445576940799998,3.635234333007247
2017Q3,13,ET-aug,9,15,0.908654028950602,0.03467849614599998,4.9208504159905715
