fold,aug,target,halflife,leaf,M,d,mf,inner_r2,r2,mae,rmse,base_r2,base_mae,search_s,fit_s,base_fit_s
2017Q1,surface16,raw,,2,12,23,0.522,0.8703408293127952,0.8697067865910588,0.04328650814265763,0.07983499799458131,0.8535501368296718,0.04777340238066676,53.21698225,3.368700084000011,3.8349780839998857
2017Q2,surface12,log,,2,11,19,0.579,0.9146180629194569,0.9314854963723161,0.025754782963832976,0.05372093594624214,0.9282416373638229,0.026063203067333323,37.567234875000395,3.645496459000242,4.097569333000138
2017Q3,surface16,raw,,2,11,23,0.478,0.919620355617009,0.9123315120411993,0.03410326760836042,0.06106537151147335,0.9132317633888174,0.03409257215533335,39.080402625000715,3.6937932079999882,4.435846957999274
2017Q4,surface16,raw,,2,10,23,0.435,0.911648525429174,0.9203280169004566,0.029637254279626362,0.06568665930223945,0.9155059924022452,0.030684937660666673,37.84856008399947,3.377008415999626,4.730666249999558
2018Q1,surface12,raw,250.0,1,9,19,0.474,0.9285801763835038,0.914344768315694,0.032676059700339,0.06727114030596804,0.9142692867951798,0.03311269587999994,36.98628550000012,4.802771833000406,4.136563166000087
2018Q2,ship8,raw,120.0,2,8,15,0.533,0.9184105061419265,0.9352292775948764,0.030328402709895362,0.05755074395231151,0.9303504821195498,0.03086629445066663,34.967137042000104,2.9193292919999294,4.150926583
2018Q3,surface16,log,120.0,2,8,23,0.348,0.9406736554796735,0.9397763966852632,0.03188917112221498,0.05541018903724602,0.9424390076795637,0.030957566840666677,33.09927091600002,4.866145582999707,6.174865459000102
2018Q4,surface16,raw,,2,8,23,0.348,0.9360038753993725,0.8464881245287789,0.062122564372113324,0.08676866536791994,0.8449364997475107,0.062175095248000016,50.69721716699951,4.315373207999983,5.3150397919998795
2019Q1,ship8,raw,,1,7,15,0.467,0.8546373226679063,0.9289038702871145,0.036884214893666646,0.06668448306839568,0.9289038702871145,0.03688421489366666,47.38550183300049,5.699944708000658,6.196068541999921
2019Q2,surface16,log,,2,8,23,0.348,0.9278941523865853,0.9254309124028487,0.03630279804437968,0.06707178902255813,0.9267657197414717,0.0358039340703334,44.280268540999714,2.6317040000003544,3.514891541999532
2019Q3,surface12,raw,250.0,1,9,19,0.474,0.9346087046771544,0.9275884832181384,0.029752634060611762,0.05413555463073482,0.9270513159463905,0.029892577990666608,30.060086250000495,4.540590292000161,3.5358945830002995
2019Q4,ship8,log,250.0,2,7,15,0.467,0.9194698530596069,0.9239007962220752,0.03086755564606921,0.058773397957067354,0.9196306625272056,0.032629098739333284,30.56946062499992,2.4274538330000723,3.405475791999379
2020Q1,surface16,raw,250.0,2,10,23,0.435,0.9103693165138539,0.6193839774374887,0.099641009588213,0.16295939318677527,0.6282163321332541,0.097947748438,31.40401062500041,3.161792582999624,3.411978708000788
2020Q2,surface12,raw,,1,9,19,0.474,0.5186132135527695,0.8755460911397938,0.06149604626633339,0.09659881662271207,0.8765776211620874,0.06125752641900009,29.300786166999387,4.301251541999591,3.476550500000485
2020Q3,surface12,raw,250.0,2,9,19,0.474,0.8937238286758785,0.7601761365617349,0.09196228270096624,0.12990722023562684,0.7594092672382147,0.09145763003200004,32.00344250000035,3.105184584000199,3.4780353749993083
2020Q4,surface16,raw,120.0,2,12,23,0.522,0.7481424283941867,0.7527187787264227,0.0865898864038038,0.11604974736386443,0.7387191400972912,0.08819542070333315,32.03676904199983,3.6615657089996603,3.6517342500001178
