fold,model,d,M_blocks,n_train,n_test,r2,mae,rmse,secs
2017Q1,Dynamic ET (ours),15,9,30000,15000,0.8523126924932837,0.04816738674566665,0.08499708027911378,3.7083192499703728
2017Q1,ET-aug (ablation),15,9,30000,15000,0.850880548981642,0.04804583291966664,0.0854082000228878,4.5552092919824645
2017Q1,ET,7,9,30000,15000,0.8125391082218331,0.05784314648466663,0.09576079887608115,2.768427499977406
2017Q1,RF,7,9,30000,15000,0.8510724532055512,0.05045984982767249,0.08535322573607945,1.39698166702874
2017Q1,GBR,7,9,30000,15000,0.8212745053269812,0.05424190043014459,0.09350302794228668,6.403163750015665
2017Q1,Linear,7,9,30000,15000,0.2853532536816753,0.11098162344910716,0.18697267070601645,0.00282024999614805
2017Q2,Dynamic ET (ours),15,9,30000,15000,0.9251814729104094,0.02628105745333334,0.0561379939998553,3.4840162500040606
2017Q2,ET-aug (ablation),15,9,30000,15000,0.9242579291387081,0.02646891132233333,0.05648340898594371,4.6485232500126585
2017Q2,ET,7,9,30000,15000,0.9154329387731471,0.02692826208466666,0.05968331428714632,2.5393068750272505
2017Q2,RF,7,9,30000,15000,0.9217713392329612,0.027981614163151047,0.05740308858882898,1.32826025004033
2017Q2,GBR,7,9,30000,15000,0.9209144253370433,0.03059875929839559,0.05771662797167712,6.428327709028963
2017Q2,Linear,7,9,30000,15000,0.3156906273916573,0.09703866013450191,0.1697768833428595,0.0020810830174013972
2017Q3,Dynamic ET (ours),15,9,30000,15000,0.9089311469419379,0.03446365782599999,0.062238365541444136,3.350479166023433
2017Q3,ET-aug (ablation),15,9,30000,15000,0.9088945433917685,0.03463128058933331,0.06225087210208373,4.509614457958378
2017Q3,ET,7,9,30000,15000,0.911210247673885,0.034521105049999966,0.06145463842228148,2.7260933329816908
2017Q3,RF,7,9,30000,15000,0.9139520476848872,0.034524989628023986,0.06049834795827608,1.3758074160432443
2017Q3,GBR,7,9,30000,15000,0.897279957974687,0.036887624323619785,0.06609990566906905,6.469919249997474
2017Q3,Linear,7,9,30000,15000,0.316422995503275,0.09117271572472324,0.17051671909982574,0.002047999994829297
2017Q4,Dynamic ET (ours),15,9,30000,15000,0.9190289027654727,0.030412854209333352,0.06622003007089838,3.3614028749871068
2017Q4,ET-aug (ablation),15,9,30000,15000,0.9171023674546369,0.03065377469133335,0.06700318159445996,4.5571156670339406
2017Q4,ET,7,9,30000,15000,0.911373570518621,0.031260756546,0.06927969833764579,2.6693696660222486
2017Q4,RF,7,9,30000,15000,0.9178735709444419,0.030774456085711246,0.06669078528155473,1.4226207920000888
2017Q4,GBR,7,9,30000,15000,0.9039193999051591,0.03669999395742431,0.0721343653034969,6.465818083030172
2017Q4,Linear,7,9,30000,15000,0.30645851357721476,0.11257523152644204,0.19380303944527313,0.0021281249937601388
2018Q1,Dynamic ET (ours),15,8,30000,15000,0.9139149238291752,0.03405463965999999,0.06743972278139292,3.0509693329804577
2018Q1,ET-aug (ablation),15,8,30000,15000,0.9138475237557697,0.034151758423333345,0.06746611848844113,4.6938462919788435
2018Q1,ET,7,8,30000,15000,0.9092459835201784,0.034995472296666684,0.06924441804752923,2.7533548749634065
2018Q1,RF,7,8,30000,15000,0.908832175993376,0.03546359479701659,0.06940210403086097,1.3985754169989377
2018Q1,GBR,7,8,30000,15000,0.9130886653068474,0.03640214223702282,0.06776259857631639,6.4638148749945685
2018Q1,Linear,7,8,30000,15000,0.3178565254121756,0.11010366384056895,0.1898408662301427,0.0021632499992847443
2018Q2,Dynamic ET (ours),15,8,30000,15000,0.937936458758364,0.030282104026666708,0.056335200933367344,2.990994749998208
2018Q2,ET-aug (ablation),15,8,30000,15000,0.9377968255467564,0.02998033720733336,0.05639853800196547,4.602279458020348
2018Q2,ET,7,8,30000,15000,0.9344646879802921,0.030009649943333373,0.05788942786899377,2.705334708036389
2018Q2,RF,7,8,30000,15000,0.9359765825963853,0.03242145822041783,0.057217779217275076,1.3850467079901136
2018Q2,GBR,7,8,30000,15000,0.9260505935932544,0.03348226234071155,0.06149345829500855,6.442476166004781
2018Q2,Linear,7,8,30000,15000,0.30941913595515236,0.12121957899057603,0.18791819902683374,0.0023632500087842345
2018Q3,Dynamic ET (ours),15,7,30000,15000,0.939567293416633,0.031316422936666685,0.055506300952305486,2.724047833995428
2018Q3,ET-aug (ablation),15,7,30000,15000,0.9393330346729889,0.0318390032426667,0.05561377801658755,4.787264915998094
2018Q3,ET,7,7,30000,15000,0.9258675725855932,0.03499122128733333,0.06147667549793192,2.622564624994993
2018Q3,RF,7,7,30000,15000,0.9347011420603593,0.03220889807044779,0.05769777373218668,1.388505958020687
2018Q3,GBR,7,7,30000,15000,0.9258136594588304,0.037458118517062,0.06149902602340905,6.456798291997984
2018Q3,Linear,7,7,30000,15000,0.28942554018566713,0.11790574509328441,0.19033167088356892,0.002042457985226065
2018Q4,Dynamic ET (ours),15,7,30000,15000,0.8458885186267247,0.062357740882666664,0.08693795617779283,3.0575357920024544
2018Q4,ET-aug (ablation),15,7,30000,15000,0.8453846281913037,0.062455592740666664,0.08707996848628456,4.6044322500238195
2018Q4,ET,7,7,30000,15000,0.8308872458927554,0.06420777704466667,0.09107100093512674,2.66402766702231
2018Q4,RF,7,7,30000,15000,0.8303711793358426,0.06563011718060624,0.09120985177842528,1.3922217499930412
2018Q4,GBR,7,7,30000,15000,0.8330265199383,0.06588832991823204,0.09049314418564913,6.511577375000343
2018Q4,Linear,7,7,30000,15000,0.23663272169939542,0.1113276975308447,0.1934900775283469,0.002036791993305087
2019Q1,Dynamic ET (ours),15,7,30000,15000,0.9291436589524662,0.03734791535366668,0.06657193342102843,3.094616374990437
