setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,42,"12,110 American",RF,all,11563,,-0.8692442940649434,0.1660844015235377,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,42,"12,110 American",RF,deep OTM,2524,,-0.3622391607304962,0.15322443359125737,
transfer,42,"12,110 American",RF,OTM,1812,,-2.0560795539736287,0.1656160063979029,
transfer,42,"12,110 American",RF,ATM,1934,,-3.1883876333188717,0.16592620294071012,
transfer,42,"12,110 American",RF,ITM,1586,,-1.737502765814423,0.16457307214312736,
transfer,42,"12,110 American",RF,deep ITM,3707,,-0.6941497394411604,0.1757985141443215,
transfer,7,held out,Dynamic ET,all,893,10.0,0.616466871401548,0.0789004269204927,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,Dynamic ET,OTM,281,10.0,0.6494386638989416,0.0687826675444838,
transfer,7,held out,Dynamic ET,ATM,305,10.0,0.7234685559564689,0.06914426790163934,
transfer,7,held out,Dynamic ET,ITM,292,10.0,0.4989287463473241,0.10006539736301376,
transfer,7,2017 European,Dynamic ET,all,1700,10.0,-0.3907448253526993,0.12717737195294107,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,Dynamic ET,OTM,412,10.0,0.12154795300442023,0.10330788538834942,
transfer,7,2017 European,Dynamic ET,ATM,772,10.0,-0.9152958459894358,0.1346118946373057,
transfer,7,2017 European,Dynamic ET,ITM,494,10.0,-0.36495852489792946,0.13532451493927108,
transfer,7,"12,110 American",Dynamic ET,all,11563,10.0,-0.13199751527346804,0.14291190292432754,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",Dynamic ET,deep OTM,2524,10.0,0.07363803984457995,0.1358830687785261,
transfer,7,"12,110 American",Dynamic ET,OTM,1812,10.0,-0.22380503653106087,0.1296719046760486,
transfer,7,"12,110 American",Dynamic ET,ATM,1934,10.0,-0.8299794925653659,0.13016493330610152,
transfer,7,"12,110 American",Dynamic ET,ITM,1586,10.0,-0.3739799336049652,0.13057241227931896,
transfer,7,"12,110 American",Dynamic ET,deep ITM,3707,10.0,-0.47583342799445894,0.16609904228621505,
transfer,7,held out,ET-aug,all,893,,0.6397534759838033,0.07583739731872524,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,held out,ET-aug,OTM,281,,0.659572064044883,0.06689531544641511,
transfer,7,held out,ET-aug,ATM,305,,0.7429403233047589,0.0661461841799979,
transfer,7,held out,ET-aug,ITM,292,,0.5330465605144677,0.09530480183562359,
transfer,7,2017 European,ET-aug,all,1700,,-0.4832763830189619,0.12957964413883694,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,2017 European,ET-aug,OTM,412,,0.0937981691510763,0.10302378612624663,
transfer,7,2017 European,ET-aug,ATM,772,,-1.1049531007804267,0.13890587724378337,
transfer,7,2017 European,ET-aug,ITM,494,,-0.4128780229318858,0.13714200822597572,
transfer,7,"12,110 American",ET-aug,all,11563,,-0.19891558411429755,0.14631907401301247,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,7,"12,110 American",ET-aug,deep OTM,2524,,0.06001059612570081,0.13676535804360668,
transfer,7,"12,110 American",ET-aug,OTM,1812,,-0.34630161279252913,0.13446689733937772,
transfer,7,"12,110 American",ET-aug,ATM,1934,,-1.1031772572981948,0.13765159378988517,
transfer,7,"12,110 American",ET-aug,ITM,1586,,-0.48323685531420857,0.13532318541289948,
transfer,7,"12,110 American",ET-aug,deep ITM,3707,,-0.5189532359523725,0.16784378653276266,
transfer,7,held out,ET,all,893,,0.7042034617923312,0.06846909842105267,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,ET,OTM,281,,0.7276177228185206,0.059526740569394825,
transfer,7,held out,ET,ATM,305,,0.8000712226754341,0.05904293770491826,
transfer,7,held out,ET,ITM,292,,0.605314926115104,0.08740326150684934,
transfer,7,2017 European,ET,all,1700,,-0.568809342954198,0.13295166481176457,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,ET,OTM,412,,0.002633887743690333,0.10516627162621352,
transfer,7,2017 European,ET,ATM,772,,-1.149091589975673,0.13982338167098435,
transfer,7,2017 European,ET,ITM,494,,-0.5486415835707721,0.14521702888663943,
transfer,7,"12,110 American",ET,all,11563,,-0.23073034571287576,0.148243613955202,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",ET,deep OTM,2524,,0.020903282003701174,0.1400464143815372,
transfer,7,"12,110 American",ET,OTM,1812,,-0.4769061207457448,0.1388626264001105,
transfer,7,"12,110 American",ET,ATM,1934,,-1.2172105526916672,0.14087746977559487,
transfer,7,"12,110 American",ET,ITM,1586,,-0.6261723960907619,0.14060487701954597,
transfer,7,"12,110 American",ET,deep ITM,3707,,-0.46569722513382983,0.16552153162368496,
transfer,7,held out,RF,all,893,,0.7243749130017747,0.06453856927958194,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,held out,RF,OTM,281,,0.7774580366348822,0.052972463701067604,
transfer,7,held out,RF,ATM,305,,0.7826085066666624,0.058646553551912554,
transfer,7,held out,RF,ITM,292,,0.6467842612238228,0.08151609006849321,
transfer,7,2017 European,RF,all,1700,,-0.8721761677904039,0.14300994382352936,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,RF,OTM,412,,-0.20291691960470248,0.1105228438511326,
transfer,7,2017 European,RF,ATM,772,,-1.4959143637486672,0.14889895768566488,
transfer,7,2017 European,RF,ITM,494,,-0.9212321573241262,0.16117994581646417,
transfer,7,"12,110 American",RF,all,11563,,-0.9256714333793172,0.16809481781256305,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",RF,deep OTM,2524,,-0.3417920290531544,0.1508125476564977,
transfer,7,"12,110 American",RF,OTM,1812,,-2.1695341724957777,0.16872306203219278,
transfer,7,"12,110 American",RF,ATM,1934,,-3.438095103811941,0.17005189254119268,
transfer,7,"12,110 American",RF,ITM,1586,,-1.8744664520529453,0.16820244149831864,
transfer,7,"12,110 American",RF,deep ITM,3707,,-0.7326060324346921,0.17848769551883817,
transfer,101,held out,Dynamic ET,all,893,6.0,0.531717927100698,0.0855611473544232,"{'tau': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,held out,Dynamic ET,OTM,278,6.0,0.5748196526521777,0.08266108409772172,
transfer,101,held out,Dynamic ET,ATM,320,6.0,0.7182186520484353,0.06158871278385414,
transfer,101,held out,Dynamic ET,ITM,273,6.0,0.3711548181776433,0.10885618353174596,
transfer,101,2017 European,Dynamic ET,all,1700,6.0,-0.28873180279238464,0.12520755745588227,"{'tau': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,2017 European,Dynamic ET,OTM,412,6.0,0.15603786652467178,0.1026105382483818,
transfer,101,2017 European,Dynamic ET,ATM,772,6.0,-0.6737661354481874,0.12986379144969765,
transfer,101,2017 European,Dynamic ET,ITM,494,6.0,-0.3498260346728974,0.1362389984581646,
transfer,101,"12,110 American",Dynamic ET,all,11563,6.0,-0.10503951003569356,0.14264788593087147,"{'tau': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,"12,110 American",Dynamic ET,deep OTM,2524,6.0,0.0756260051129709,0.1354487198899894,
transfer,101,"12,110 American",Dynamic ET,OTM,1812,6.0,-0.1118059343287996,0.12498772470842531,
transfer,101,"12,110 American",Dynamic ET,ATM,1934,6.0,-0.45981135290086605,0.11948596506807999,
transfer,101,"12,110 American",Dynamic ET,ITM,1586,6.0,-0.24054157228135487,0.12463836521090803,
transfer,101,"12,110 American",Dynamic ET,deep ITM,3707,6.0,-0.5814623634501832,0.17597110201739957,
transfer,101,held out,ET-aug,all,893,,0.5643198203136899,0.08029868758359551,"{'min_samples_leaf': 2, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,held out,ET-aug,OTM,278,,0.5915862747277238,0.07817354699272008,
transfer,101,held out,ET-aug,ATM,320,,0.7548479689442645,0.05615156662566967,
transfer,101,held out,ET-aug,ITM,273,,0.42495465224158346,0.10200044966713177,
transfer,101,2017 European,ET-aug,all,1700,,-0.3756293604863399,0.127189611730845,"{'min_samples_leaf': 2, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,2017 European,ET-aug,OTM,412,,0.09877555275453931,0.10293283404723375,
transfer,101,2017 European,ET-aug,ATM,772,,-0.8044849830252978,0.1331362667163932,
transfer,101,2017 European,ET-aug,ITM,494,,-0.42706165626993475,0.13804986906008618,
transfer,101,"12,110 American",ET-aug,all,11563,,-0.15926841363599187,0.1446919008744415,"{'min_samples_leaf': 2, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,"12,110 American",ET-aug,deep OTM,2524,,0.01930906469675575,0.14017577320877672,
transfer,101,"12,110 American",ET-aug,OTM,1812,,-0.2558697516020014,0.1305501755978004,
transfer,101,"12,110 American",ET-aug,ATM,1934,,-0.6509472579475131,0.12686457606502682,
transfer,101,"12,110 American",ET-aug,ITM,1586,,-0.37768038355629696,0.13067208293897498,
transfer,101,"12,110 American",ET-aug,deep ITM,3707,,-0.5597917712371299,0.1699783831664483,
transfer,101,held out,ET,all,893,,0.6539394102442919,0.06937915195968633,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,held out,ET,OTM,278,,0.6837648314189338,0.06656225136690634,
transfer,101,held out,ET,ATM,320,,0.8258182853867535,0.047977868406250096,
transfer,101,held out,ET,ITM,273,,0.5544973331791728,0.08784281893772866,
transfer,101,2017 European,ET,all,1700,,-0.5639195402540087,0.13253763599999976,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,2017 European,ET,OTM,412,,-0.017579040427676107,0.10610945825242703,
transfer,101,2017 European,ET,ATM,772,,-1.086756187519101,0.13640460103626928,
transfer,101,2017 European,ET,ITM,494,,-0.5856738862157853,0.1483121902834004,
