ticker,fold,model,M_blocks,d,n_train,n_test,r2,mae,rmse,fit_s
AAPL,2017Q1,Dynamic ET,9,15,30000,15000,0.8523126924932837,0.04816738674566666,0.08499708027911378,3.842119791001096
AAPL,2017Q1,ET-aug,9,15,30000,15000,0.850880548981642,0.048045832919666645,0.08540820002288782,5.62619045899919
AAPL,2017Q1,ET,9,15,30000,15000,0.8125391082218331,0.05784314648466663,0.09576079887608115,3.041116417000012
AAPL,2017Q1,RF,9,15,30000,15000,0.8510724532055512,0.05045984982767249,0.08535322573607945,1.4991216660000646
AAPL,2017Q1,GBR,9,15,30000,15000,0.8212745053269812,0.05424190043014459,0.09350302794228668,7.963636958000279
AAPL,2017Q1,XGBoost,9,15,30000,15000,0.8249541415599975,0.059139547994286855,0.09253549256908879,2.1960511670004053
AAPL,2017Q1,LightGBM,9,15,30000,15000,0.8389817280250912,0.053041105558572575,0.08875033517756886,12.126109417000407
AAPL,2017Q1,CatBoost,9,15,30000,15000,0.8494792444839578,0.05228224394849712,0.08580856039356075,1.9160594580007455
AAPL,2017Q1,SVI,9,15,30000,15000,0.7693831501366168,0.07102997914344304,0.10621306436624307,4.239224416998695
AAPL,2017Q1,Heston,9,15,30000,15000,-0.04876586864185661,0.160904557749969,0.2265018187737566,2.4645125420011027
AAPL,2017Q2,Dynamic ET,9,15,30000,15000,0.9251814729104094,0.02628105745333334,0.05613799399985529,3.8008450840006844
AAPL,2017Q2,ET-aug,9,15,30000,15000,0.9242579291387081,0.026468911322333335,0.05648340898594371,5.356955457998993
AAPL,2017Q2,ET,9,15,30000,15000,0.9154329387731471,0.02692826208466666,0.05968331428714632,2.9290683749986783
AAPL,2017Q2,RF,9,15,30000,15000,0.9217713392329612,0.027981614163151047,0.05740308858882898,1.5600467919994117
AAPL,2017Q2,GBR,9,15,30000,15000,0.9209144253370433,0.03059875929839559,0.05771662797167712,7.802837167000689
AAPL,2017Q2,XGBoost,9,15,30000,15000,0.9161766088741866,0.02893507726763455,0.059420311734885906,2.223275583999566
AAPL,2017Q2,LightGBM,9,15,30000,15000,0.9142054240447907,0.028554658134154875,0.06011491379669168,11.449973041999328
AAPL,2017Q2,CatBoost,9,15,30000,15000,0.9199421198612638,0.0282649653699055,0.05807033825157998,0.8532110420001118
AAPL,2017Q2,SVI,9,15,30000,15000,0.7678425576867242,0.06136568893234041,0.09888800557258057,4.088918916000694
AAPL,2017Q2,Heston,9,15,30000,15000,-0.044731776146165414,0.14899878973260117,0.20977547578184258,2.448527541999283
AAPL,2017Q3,Dynamic ET,9,15,30000,15000,0.9089311469419379,0.03446365782599999,0.062238365541444136,3.865175000000818
AAPL,2017Q3,ET-aug,9,15,30000,15000,0.9088945433917685,0.03463128058933331,0.06225087210208373,6.124853708999581
AAPL,2017Q3,ET,9,15,30000,15000,0.911210247673885,0.034521105049999966,0.06145463842228147,3.192057833000945
AAPL,2017Q3,RF,9,15,30000,15000,0.9139520476848872,0.034524989628023986,0.06049834795827608,1.7054813750000903
AAPL,2017Q3,GBR,9,15,30000,15000,0.897279957974687,0.036887624323619785,0.06609990566906905,8.020015457999762
AAPL,2017Q3,XGBoost,9,15,30000,15000,0.9049042446663865,0.03543756602253739,0.06359951615229044,3.3261558340000192
AAPL,2017Q3,LightGBM,9,15,30000,15000,0.9032710830860026,0.035544045712424054,0.06414331602936539,11.605525208000472
AAPL,2017Q3,CatBoost,9,15,30000,15000,0.9080961377904672,0.03577399871225372,0.06252304586257319,0.8531898750006803
