fold,n_train,model,r2,mae,secs,error
2019Q3,3000,ET-aug,0.9027300466897528,0.03209120860266658,0.903127541008871,
2019Q3,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2019Q3,10000,Dynamic ET,0.9243306288223812,0.030691257705999942,1.3764944169961382,
2019Q3,10000,ET-aug,0.9234172810347623,0.031236672139333274,2.0129834579856833,
2019Q3,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2019Q4,3000,Dynamic ET,0.90708627298551,0.03499293358466671,0.7062841250008205,
2019Q4,3000,ET-aug,0.9063000787109122,0.035567291174666706,0.9419952080061194,
2019Q4,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2019Q4,10000,Dynamic ET,0.9102330139157143,0.033232426227333266,1.444024915996124,
2019Q4,10000,ET-aug,0.9103863536907595,0.033443999064666614,1.9409814999962691,
2019Q4,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q1,3000,Dynamic ET,0.6504095172645621,0.09364729418999997,0.6813180000026478,
2020Q1,3000,ET-aug,0.6470499673193255,0.09552753758133328,0.9125832499994431,
2020Q1,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q1,10000,Dynamic ET,0.6315476353095442,0.09600306095466679,1.3610422080091666,
2020Q1,10000,ET-aug,0.6256976751458989,0.09753406899400012,1.9259724590083351,
2020Q1,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q2,3000,Dynamic ET,0.869011412116134,0.06444497364733337,0.7359984580107266,
2020Q2,3000,ET-aug,0.8683115976230443,0.06472547410466671,0.9430554999999003,
2020Q2,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q2,10000,Dynamic ET,0.8787305557096382,0.060759913571333306,1.349179541997728,
2020Q2,10000,ET-aug,0.8767736616385902,0.061649577811999964,1.9779297079949174,
2020Q2,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q3,3000,Dynamic ET,0.7484987094547011,0.09340622600866653,0.8158578750008019,
2020Q3,3000,ET-aug,0.7322615322695933,0.09654883085266656,0.9337775000021793,
2020Q3,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q3,10000,Dynamic ET,0.7413106025652181,0.09336487772000006,1.336859540999285,
2020Q3,10000,ET-aug,0.7342398146514222,0.09445074416200008,2.0364235830056714,
2020Q3,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q4,3000,Dynamic ET,0.7393733741985359,0.08263966651000026,0.7603476250078529,
2020Q4,3000,ET-aug,0.7238060427734853,0.08694213388000016,0.8518225830048323,
2020Q4,3000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
2020Q4,10000,Dynamic ET,0.7397595906543479,0.08559014764333309,1.4808324999903562,
2020Q4,10000,ET-aug,0.7216343365606226,0.09016451951733306,2.0067305419943295,
2020Q4,10000,TabPFN,,,,"TabPFN requires a one-time license acceptance to download
model weights for local inferenc"
